turn,player,response,predicted_action,predicted_normalized,chaga_top1_action,chaga_top3_actions,teacher_accept_top3,has_teacher_distribution,top1_match,top3_match,relaxed_match
2,0,Play F2,Play F3,PLAY F3,PLAY F2,PLAY F2|PLAY F3|PLAY J3,True,True,False,True,True
6,2,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY T2,True,True,True,True,True
8,3,Play J1,Play J2,PLAY J2,PLAY J1,PLAY J1|PLAY J2,True,True,False,True,True
10,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J3,True,True,True,True,True
14,2,Play T2,Play B8,PLAY B8,PLAY T2,PLAY T2,True,True,False,False,False
16,3,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
18,0,Play J3,Play F4,PLAY F4,PLAY J3,PLAY J3|PLAY F4|PLAY W2,True,True,False,True,True
22,2,Play T8,Play B8,PLAY B8,PLAY T8,PLAY T8|PLAY B9|PLAY B8,True,True,False,True,True
24,3,Play T2,Play T1,PLAY T1,PLAY T2,PLAY T2|PLAY B2,True,True,False,False,False
26,0,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY W2|PLAY B2,True,True,True,True,True
30,2,Play T6,Play B9,PLAY B9,PLAY T6,PLAY T6|PLAY B6|PLAY B9,True,True,False,True,True
31,3,Chi T5,Chi T5,CHI T5,CHI T5,CHI T5,False,True,True,True,True
33,0,Play W2,Play T9,PLAY T9,PLAY W2,PLAY W2|PLAY B2,True,True,False,False,False
37,2,Play T4,Play B8,PLAY B8,PLAY T4,PLAY T4|PLAY B9|PLAY B3,True,True,False,False,False
39,3,Play W3,Play T1,PLAY T1,PLAY W3,PLAY W3|PLAY W6,True,True,False,False,False
41,0,Play B2,Play T9,PLAY T9,PLAY B2,PLAY B2,True,True,False,False,False
44,2,Chi W2,Chi W2,CHI W2,CHI W2,CHI W2,False,True,True,True,True
45,3,Chi B4,Chi B4,CHI B4,CHI B4,CHI B4,False,True,True,True,True
