turn,player,response,predicted_action,predicted_normalized,predicted_family,chaga_top1_action,chaga_family,chaga_top3_actions,teacher_accept_top3,top1_match,top3_match,relaxed_match
4,1,PLAY T3,Play W4,PLAY W4,PLAY,PLAY T3,PLAY,PLAY T3|PLAY W8|PLAY T8,True,False,False,False
6,1,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
10,3,PLAY B1,Play W3,PLAY W3,PLAY,PLAY B1,PLAY,PLAY B1|PLAY J2,True,False,False,False
14,1,PLAY T8,Play W4,PLAY W4,PLAY,PLAY T8,PLAY,PLAY T8|PLAY W4,True,False,True,True
18,3,PLAY B5,Play W3,PLAY W3,PLAY,PLAY B5,PLAY,PLAY B5|PLAY J2|PLAY T1,True,False,False,False
21,1,CHI B7,Peng,PENG,PENG,CHI B7,CHI,CHI B7,False,False,False,False
25,3,PLAY B3,Play W3,PLAY W3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY J2|PLAY T1,True,False,False,False
33,3,PLAY T1,Play J2,PLAY J2,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T3|PLAY J2,True,False,True,True
37,1,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9,False,True,True,True
40,3,PLAY T3,Play J2,PLAY J2,PLAY,PLAY T3,PLAY,PLAY T3|PLAY J2|PLAY T5,True,False,True,True
44,1,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,True,True,True,True
48,3,PLAY T9,Play W3,PLAY W3,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T5,True,False,False,False
52,1,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,True,True,True,True
56,3,PLAY T5,Play W3,PLAY W3,PLAY,PLAY T5,PLAY,PLAY T5|PLAY J2,False,False,False,False
60,1,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7,False,True,True,True
63,3,PLAY J2,Play J2,PLAY J2,PLAY,PLAY J2,PLAY,PLAY J2|PLAY J1,False,True,True,True
70,3,CHI W7,Chi W5,CHI W5,CHI,CHI W7,CHI,CHI W7|CHI W5,False,False,True,False
74,1,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3,False,True,True,True
75,3,GANG,Peng,PENG,PENG,GANG,GANG,GANG|PASS,False,False,False,False
76,3,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY F2|PLAY J3,False,True,True,True
2,0,PLAY F3,Play W5,PLAY W5,PLAY,PLAY F3,PLAY,PLAY F3|PLAY F1,True,False,False,False
6,2,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY T3|PLAY J3,True,True,True,True
10,0,PLAY F1,Play W5,PLAY W5,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J2,True,False,False,False
13,2,CHI T7,Chi T7,CHI T7,CHI,CHI T7,CHI,CHI T7,False,True,True,True
17,0,PLAY J2,Play W5,PLAY W5,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W9,True,False,False,False
21,2,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3|PLAY F3,True,True,True,True
25,0,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY B9,True,True,True,True
29,2,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4|PLAY F3,True,True,True,True
32,0,CHI T2,Chi T2,CHI T2,CHI,CHI T2,CHI,CHI T2|PASS,False,True,True,True
36,2,PLAY F1,Play B3,PLAY B3,PLAY,PLAY F1,PLAY,PLAY F1|PLAY F3,True,False,False,False
40,0,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8,True,True,True,True
44,2,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY F3,True,True,True,True
48,0,PLAY W5,Play W1,PLAY W1,PLAY,PLAY W5,PLAY,PLAY W5|PLAY B9|PLAY W2,False,False,False,False
